Customer ID,segment,recency,frequency,monetary,churn_risk
12918,At Risk,257,1,10953.5,0.9402996
15760,At Risk,261,2,13916.34,0.9368172
12737,New Customers,129,2,3710.5,0.90952706
14380,At Risk,313,1,48.96,0.90439206
12404,At Risk,313,1,63.24,0.90226716
12570,At Risk,313,1,77.52,0.9004603
12466,At Risk,313,1,56.73,0.9002114
15375,At Risk,321,1,60.96,0.8971
17557,At Risk,364,1,34.0,0.8937067
16605,At Risk,355,1,60.48,0.8937022
14190,At Risk,297,1,79.9,0.8913527
15371,At Risk,293,1,59.400000000000006,0.8883623
14613,At Risk,311,1,76.32000000000001,0.8875252
14086,New Customers,93,1,39.95,0.8866563
15833,At Risk,368,1,80.4,0.8840767
16459,At Risk,360,1,71.78999999999999,0.8822996
14495,At Risk,291,1,51.0,0.87992543
14717,At Risk,364,1,81.3,0.8799019
15672,At Risk,356,1,45.3,0.8782121
16867,At Risk,321,1,76.74000000000001,0.8762064
12992,At Risk,356,1,93.35,0.87552637
12776,At Risk,298,1,55.5,0.87385756
17352,At Risk,327,1,36.25,0.8733301
17606,At Risk,368,1,87.30000000000001,0.87262005
12606,At Risk,313,1,21.0,0.8692602
12846,At Risk,313,1,15.58,0.8692602
14347,At Risk,367,1,82.60000000000001,0.8691325
13392,At Risk,308,1,91.14,0.86682206
14977,At Risk,356,1,31.93,0.86640394
16165,New Customers,136,1,79.9,0.8662957
15693,At Risk,290,1,37.5,0.8650748
14095,At Risk,353,1,2.95,0.8641523
15202,New Customers,51,3,6001.49,0.86258364
16530,At Risk,299,1,48.35,0.8609585
17339,New Customers,140,1,59.0,0.85546696
14906,New Customers,76,1,68.44,0.8549009
13902,At Risk,263,5,34095.26,0.85393596
14028,At Risk,181,3,10396.5,0.8528154
16118,At Risk,284,1,4376.25,0.8510656
12860,At Risk,324,1,55.47,0.8508065
13219,At Risk,249,1,76.23,0.8495125
16047,At Risk,313,1,107.14,0.8492535
17328,At Risk,304,1,104.7,0.8488111
15999,At Risk,366,1,20.4,0.8479516
13469,At Risk,284,1,82.4,0.84752095
18052,At Risk,195,1,10877.18,0.8474298
15082,At Risk,299,1,93.35,0.84630966
16064,At Risk,356,1,111.0,0.8458374
18115,At Risk,328,1,9.7,0.844212
14637,At Risk,308,1,106.68,0.8430289
17336,New Customers,103,1,81.12,0.84193826
12482,Loyal,207,29,23691.4,0.84132564
16694,At Risk,354,1,98.3,0.8393567
16291,At Risk,313,1,117.72,0.8375275
17319,At Risk,300,1,29.1,0.836623
13222,At Risk,208,1,88.5,0.83583707
13788,New Customers,136,1,3.75,0.834734
14786,At Risk,181,1,90.96,0.83378595
14091,At Risk,285,2,9530.08,0.83378524
16417,New Customers,124,1,35.7,0.8335968
16219,New Customers,131,1,40.8,0.83355445
14750,At Risk,367,1,112.03,0.83237904
14308,At Risk,180,2,1147.02,0.83223164
18012,At Risk,354,1,115.3,0.83131415
18174,At Risk,234,1,58.5,0.8309538
15040,At Risk,172,1,7.49,0.8297984
15250,At Risk,272,1,60.0,0.82932734
13438,At Risk,178,1,46.5,0.8266427
16301,At Risk,367,1,107.33,0.82404286
16028,At Risk,226,1,82.2,0.8237607
14007,At Risk,144,1,79.48,0.82364064
17794,At Risk,317,2,147.3,0.82299656
17056,At Risk,369,1,128.60000000000002,0.822661
14751,At Risk,315,2,126.45,0.8214649
12568,At Risk,276,1,70.0,0.82057625
14650,At Risk,220,1,62.5,0.81991905
14743,At Risk,223,1,50.48,0.81977886
16082,At Risk,301,1,106.75,0.8185726
15852,At Risk,158,1,96.55,0.81769156
14884,At Risk,300,1,120.6,0.8171212
17909,At Risk,368,1,132.55,0.8162208
12555,At Risk,313,1,129.23,0.8160066
16548,At Risk,230,1,30.15,0.81440014
14255,At Risk,177,1,1000.63,0.8139229
14144,New Customers,117,1,30.6,0.81265944
14435,New Customers,132,1,90.42,0.8117783
17487,At Risk,359,1,160.55,0.8109971
15409,At Risk,352,1,131.25,0.81089896
14384,New Customers,132,1,58.5,0.810008
13119,At Risk,300,1,134.9,0.8071432
15317,At Risk,308,1,129.75,0.8068528
17570,New Customers,12,1,100.0,0.8063766
15470,At Risk,207,1,63.42,0.8059892
15868,At Risk,214,1,94.53,0.8058586
14879,At Risk,315,1,185.06,0.80438703
15256,At Risk,192,1,71.95,0.80422777
17599,New Customers,108,1,52.05,0.8038766
17592,At Risk,369,1,148.3,0.8017404
16068,At Risk,224,1,122.93,0.80075455
15642,At Risk,360,1,105.78,0.8005809
17216,At Risk,185,1,65.05,0.8004038
17494,New Customers,133,1,54.7,0.800314
14726,At Risk,285,1,124.75,0.79884034
15324,At Risk,332,1,140.22000000000003,0.79833037
13457,At Risk,320,2,148.22,0.7976093
15479,At Risk,364,1,147.4,0.7975932
13180,At Risk,238,1,86.10000000000001,0.79713696
15352,At Risk,179,1,114.95,0.7970021
17192,At Risk,167,1,77.83,0.79699004
16970,At Risk,257,1,71.4,0.79637855
18175,At Risk,306,1,176.10000000000002,0.7961857
14497,At Risk,305,1,221.69,0.796043
14943,At Risk,294,1,107.62,0.7954255
17318,At Risk,356,1,164.28,0.79514265
17178,At Risk,362,1,436.71,0.79496324
15924,At Risk,362,1,102.82,0.79479504
15455,At Risk,228,1,38.25,0.7945247
14802,New Customers,69,2,1502.98,0.7939026
13105,New Customers,67,1,72.0,0.7932228
14654,At Risk,369,1,246.86,0.7932163
14171,At Risk,361,1,135.0,0.793124
